Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,GP,LapTimeSeconds
7,10,3.0,1.0,252.0,239.0,273.5594525235244,300.0,0,3,3.0,1,0,0,9.52425215480818,34.5,21.0,1003.5,0,47.6,169,1.6,2022,8,135.968
20,1,2.0,1.0,287.0,304.0,281.0,321.0,1,3,2.0,1,10,0,9.52425215480818,34.5,20.0,1003.5,0,47.7,0,2.7,2022,8,80.091
17,55,2.0,1.0,285.0,304.0,285.0,315.0,1,3,2.0,1,3,0,9.52425215480818,34.6,20.0,1003.5,0,47.9,166,1.5,2022,8,79.892
12,16,2.0,1.0,285.0,305.0,286.0,319.0,1,3,2.0,1,3,0,9.52425215480818,34.6,20.0,1003.5,0,47.6,189,2.9,2022,8,79.861
13,4,2.0,1.0,281.0,296.0,278.0,317.0,1,3,2.0,1,6,0,9.52425215480818,34.6,20.0,1003.5,0,47.6,189,2.9,2022,8,80.838
18,18,2.0,1.0,284.0,299.0,281.0,316.0,1,3,2.0,1,2,0,9.52425215480818,34.6,20.0,1003.5,0,47.6,189,2.9,2022,8,81.939
9,44,2.0,1.0,289.0,307.0,282.0,320.0,1,3,2.0,1,7,0,9.52425215480818,34.6,20.0,1003.5,0,47.6,189,2.9,2022,8,80.252
16,63,2.0,1.0,286.0,291.0,282.0,321.0,1,3,2.0,1,7,0,9.52425215480818,34.6,20.0,1003.5,0,47.6,189,2.9,2022,8,80.218
20,1,3.0,1.0,123.0,228.0,273.5594525235244,277.0,0,3,3.0,1,10,0,9.52425215480818,34.6,20.0,1003.5,0,47.5,162,2.7,2022,8,138.212
0,23,2.0,1.0,283.0,293.0,285.0,322.0,1,3,2.0,1,11,0,9.52425215480818,34.6,20.0,1003.5,0,47.5,162,2.7,2022,8,81.645
14,31,2.0,1.0,287.0,302.0,283.0,318.0,1,3,2.0,1,1,0,9.52425215480818,34.6,20.0,1003.5,0,47.5,162,2.7,2022,8,80.88
12,16,3.0,1.0,196.0,228.0,273.5594525235244,304.0,0,3,3.0,1,3,0,9.52425215480818,34.6,20.0,1003.5,0,47.5,162,2.7,2022,8,109.171
18,18,3.0,1.0,243.0,259.0,273.5594525235244,295.0,0,3,3.0,1,2,0,9.52425215480818,34.7,20.0,1003.5,0,47.3,161,3.2,2022,8,98.041
13,4,3.0,1.0,97.0,227.0,273.5594525235244,274.0,0,3,3.0,1,6,0,9.52425215480818,34.7,20.0,1003.5,0,47.3,161,3.2,2022,8,107.485
9,44,3.0,1.0,190.0,227.0,273.5594525235244,181.0,0,3,3.0,1,7,0,9.52425215480818,34.7,20.0,1003.5,0,47.3,161,3.2,2022,8,103.501
16,63,3.0,1.0,209.0,221.0,273.5594525235244,251.0,0,3,3.0,1,7,0,9.52425215480818,34.7,20.0,1003.5,0,47.3,161,3.2,2022,8,109.023
7,10,5.0,2.0,288.0,299.0,283.0,317.0,1,3,2.0,1,0,0,9.52425215480818,34.7,20.0,1003.5,0,47.3,161,3.2,2022,8,81.993
19,22,5.0,2.0,288.0,301.0,284.0,318.0,1,3,2.0,1,0,0,9.52425215480818,34.7,20.0,1003.5,0,47.3,161,3.2,2022,8,81.15
